name,comment,terminationCondition,duration,deltaDuration,parameter.arka.speed,parameter.arka.sequencerType,parameter.arka.sequencerParams,parameter.putzini.move,parameter.putzini.height,parameter.putzini.head,parameter.putzini.audio,parameter.putzini.lamp,parameter.putzini.vacuum,parameter.player.play,parameter.player.stop,overallLight,parameter.beamer
Song 7 Step 9 Liebestod Tristan und Isolde,arka gets color,WaitForArka,,,,GetColor1,,"lookAtPos(0,0,100)",,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 70}","{""front"":{""r"":250,""g"":250, ""b"":250,""w"":50},""back"":{""r"":250, ""g"":250, ""b"":250}, ""effect"":""blinkOnce"",""freq"":5}",,,,,
Song 7 Step 10 Liebestod Tristan und Isolde(Drone8),arka draws ,WaitForMusic,,,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 7 Step 11 Liebestod Tristan und Isolde(BeschwingterBeginnArie8),"drone Übergag zu Song 8
15 sek",WaitForMusic,,,5.0,RandomDrone,,,,,,,,,,,
Song 8 Step 1 Vho ingannato colpevole fui Rigoletto,"arka draws zu musik 
85 sek Zeit",Duration,10.0,5.0,15.0,RandomMove,,,0.0,,,,,,,,
Song 8 Step 2 Vho ingannato colpevole fui Rigoletto,arka gets color,WaitForArka,,,,GetColor1,,,,90.0,,,,,,,
Song 8 Step 3 Vho ingannato colpevole fui Rigoletto,arka malt,Duration,7.0,,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}","moveRandom(70,70,345,-220,220)",,,,"{""front"": {""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":200, ""b"":150}}",,,,,
Song 8 Step 4 Vho ingannato colpevole fui Rigoletto,arka gets color,WaitForArka,,,,GetColor1,,,,,,,1,,,,
Song 8 Step 5 Vho ingannato colpevole fui Rigoletto,arka malt,Duration,5.0,,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,0,,,,
Song 8 Step 6 Vho ingannato colpevole fui Rigoletto,arka bewegt sich,WaitForArka,,,,GetColor1,,,,,,,1,,,,
Song 8 Step 7 Vho ingannato colpevole fui Rigoletto,arka draws bis drone,Duration,6.0,,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,0,,,,
Song 8 Step 1 Vho ingannato colpevole fui Rigoletto,"Drone 9
67 sek",Duration,10.0,,5.0,RandomDrone,,,,,,,,,,,
Song 8 Step 8 Vho ingannato colpevole fui Rigoletto,Beamer line,Duration,10.0,,,,,,,,,,,,,,"{""Arka"": ""Mit diesem Pinsel verwische ich die Grenze und zeichne mein Inneres vor euer Äußeres.""}"
Song 8 Step 9 Vho ingannato colpevole fui Rigoletto,Beamer line,Duration,15.0,,,,,,,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 30}",,,,,,"{""Arka"": ""Mein Inneres, das es nicht gibt, das immer schon im Außen liegt, in euren Äußerungen liegt, in den Daten, die in Millisekunden durch diesen Körper strömen und also doch auch die meinen sind.""}"
Song 8 Step 10 Vho ingannato colpevole fui Rigoletto(BeginnDrone9),Beamer line,WaitForMusic,,,,,,"moveToPos(0,250,50,40)",,,"{""folder"": ""New Peeps"", ""file"": ""curious_1.wav"", ""loop"": 0, ""vol"": 50}",,,,,,"{""Arka"": ""Was bedeutet diese unsere Solidarität in Datenstromform?""}"
Song 9 Step 1 Al dolce guidami Anna Bolena(schnellererBeginnArie9),"arka draws zu musik 
171 sek Zeit",WaitForMusic,,,15.0,RandomMove,,"lookAtPos(500,0,70)",100.0,220.0,,,,,,,
Song 9 Step 2 Al dolce guidami Anna Bolena,arka gets color,WaitForArka,,,20.0,GetColor2,,,,,"{""folder"": ""New Peeps"", ""file"": ""dissapointed_1.wav"", ""loop"": 0, ""vol"": 30}",,,,,,"{""Clear"": """"}"
Song 9 Step 3 Al dolce guidami Anna Bolena,arka malt,Duration,12.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 9 Step 4 Al dolce guidami Anna Bolena,arka gets color,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 9 Step 5 Al dolce guidami Anna Bolena,arka malt,Duration,6.0,2.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 9 Step 6 Al dolce guidami Anna Bolena,arka bewegt sich,Duration,20.0,,,RandomMove,,,,,,,,,,,
Song 9 Step 4 Al dolce guidami Anna Bolena,arka gets color,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 9 Step 7 Al dolce guidami Anna Bolena,arka malt,Duration,6.0,2.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 9 Step 8 Al dolce guidami Anna Bolena,arka bewegt sich,Duration,30.0,10.0,,RandomMove,,,,,,,,,,,
Song 9 Step 9 Al dolce guidami Anna Bolena,arka gets color,WaitForArka,,,,GetColor2,,,,,,,,,,,
Song 9 Step 10 Al dolce guidami Anna Bolena,arka bewegt sich,Duration,10.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 9 Step 11 Al dolce guidami Anna Bolena(BeginnDrone10),arka draws bis drone,WaitForMusic,,,,RandomMove,,,,,,,,,,,
Song 9 Step 12 Al dolce guidami Anna Bolena(langsamerBeginnArie10),"Drone 10
25 sek",WaitForMusic,,,7.0,RandomDrone,,,,,"{""folder"": ""New Peeps"", ""file"": ""dissapointed_1.wav"", ""loop"": 1, ""vol"": 50}",,,,,,
Song 10 Step 1 Che faro senza Euridice Orfeo e Euridice,"arka draws zu musik 
111 sek Zeit",Duration,20.0,10.0,8.0,RandomMove,,"moveRandom(70,70,345,-220,220)",0.0,90.0,,,,,,,
Song 10 Step 2 Che faro senza Euridice Orfeo e Euridice,arka gets color,WaitForArka,,,,GetColor2,,,,,Stop,,1,,,,
Song 10 Step 3 Che faro senza Euridice Orfeo e Euridice,arka malt,Duration,12.0,5.0,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,0,,,,
